YEAR,CATEGORY_TITLE,TOTAL_LIKES,TOTAL_DISLIKES,TOTAL_VIEWS,AGGREGATED_VALUE
2020,Autos & Vehicles,228595299,4971065,4126295359,4349919593
2020,Comedy,1810529473,31882846,21735768158,23514414785
2020,Education,235068947,4561462,3896305341,4126812826
2020,Film & Animation,545867546,22634646,11180071245,11703304145
2020,Gaming,2376336792,55059104,40993622870,43314900558
2020,Howto & Style,466682778,15849598,9032149270,9482982450
2020,News & Politics,219559670,26530739,10490666401,10683695332
2020,Nonprofits & Activism,36678336,996475,531415076,567096937
2020,People & Blogs,2111522865,61952008,31979628862,34029199719
2020,Pets & Animals,38649848,755065,1187253505,1225148288
2020,Science & Technology,792461371,30232109,20649915862,21412145124
2020,Sports,908756738,28301460,35018833494,35899288772
2020,Travel & Events,36384685,786610,693595989,729194064
2021,Autos & Vehicles,534172931,11729315,10921933718,11444377334
2021,Comedy,5060998512,107356350,79168877801,84122519963
2021,Education,948600631,18447756,21935185505,22865338380
2021,Film & Animation,1569916410,27379882,38385912903,39928449431
2021,Gaming,8528134288,142977375,143661973166,152047130079
2021,Howto & Style,1046911800,30489793,23364941031,24381363038
2021,News & Politics,408232362,31967038,22595877870,22972143194
2021,Nonprofits & Activism,151456066,3395059,2171133114,2319194121
2021,People & Blogs,8011710907,200401137,139437335157,147248644927
2021,Pets & Animals,129678403,2081309,4052955002,4180552096
2021,Science & Technology,1910715542,40944497,39718788214,41588559259
2021,Sports,2538734340,66697908,92920595846,95392632278
2021,Travel & Events,236177856,4382784,4428224862,4660019934
2022,Autos & Vehicles,43358307,0,923849738,967208045
2022,Comedy,535410076,0,7588392581,8123802657
2022,Education,176502598,0,2446636364,2623138962
2022,Film & Animation,143695803,0,3281819553,3425515356
2022,Gaming,637813249,0,11162221752,11800035001
2022,Howto & Style,134490992,0,2346572068,2481063060
2022,News & Politics,27965086,0,1583832839,1611797925
2022,Nonprofits & Activism,3538210,0,68424417,71962627
2022,People & Blogs,1009902050,0,16001361910,17011263960
2022,Pets & Animals,18105291,0,458884727,476990018
2022,Science & Technology,106944979,0,1548818739,1655763718
2022,Sports,170851191,0,5712359836,5883211027
2022,Travel & Events,34794030,0,548573671,583367701
